hero1,hero2
NOVA,HULK
NOVA,SPIDER-MAN
SPIDER-MAN,HULK
QUICKSILVER,WASP
QUICKSILVER,SILVER SURFER
QUICKSILVER,HAWK
QUICKSILVER,SCARLET WITCH
QUICKSILVER,IRON MAN
IRON MAN,WASP
IRON MAN,SILVER SURFER
IRON MAN,HAWK
IRON MAN,SCARLET WITCH
SCARLET WITCH,WASP
SCARLET WITCH,SILVER SURFER
SCARLET WITCH,HAWK
HAWK,WASP
HAWK,SILVER SURFER
SILVER SURFER,WASP
CYCLOPS,CAPTAIN AMERICA
CYCLOPS,NOVA
CYCLOPS,WONDER MAN
CYCLOPS,WOLVERINE
CYCLOPS,SHE-HULK
CYCLOPS,SILVER SURFER
CYCLOPS,VISION
CYCLOPS,MARVEL GIRL
CYCLOPS,STORM
CYCLOPS,MR. FANTASTIC
CYCLOPS,ANGEL
CYCLOPS,IRON MAN
CYCLOPS,BLACK PANTHER
CYCLOPS,SCARLET WITCH
CYCLOPS,THING
CYCLOPS,INVISIBLE WOMAN
CYCLOPS,PUNISHER II
CYCLOPS,HULK
CYCLOPS,BEAST
BEAST,CAPTAIN AMERICA
BEAST,NOVA
BEAST,WONDER MAN
BEAST,WOLVERINE
BEAST,SHE-HULK
BEAST,SILVER SURFER
BEAST,VISION
BEAST,MARVEL GIRL
BEAST,STORM
BEAST,MR. FANTASTIC
BEAST,ANGEL
BEAST,IRON MAN
BEAST,BLACK PANTHER
BEAST,SCARLET WITCH
BEAST,THING
BEAST,INVISIBLE WOMAN
BEAST,PUNISHER II
BEAST,HULK
HULK,CAPTAIN AMERICA
HULK,NOVA
HULK,WONDER MAN
HULK,WOLVERINE
HULK,SHE-HULK
HULK,SILVER SURFER
HULK,VISION
HULK,MARVEL GIRL
HULK,STORM
HULK,MR. FANTASTIC
HULK,ANGEL
HULK,IRON MAN
HULK,BLACK PANTHER
HULK,SCARLET WITCH
HULK,THING
HULK,INVISIBLE WOMAN
HULK,PUNISHER II
PUNISHER II,CAPTAIN AMERICA
PUNISHER II,NOVA
PUNISHER II,WONDER MAN
PUNISHER II,WOLVERINE
PUNISHER II,SHE-HULK
PUNISHER II,SILVER SURFER
PUNISHER II,VISION
PUNISHER II,MARVEL GIRL
PUNISHER II,STORM
PUNISHER II,MR. FANTASTIC
PUNISHER II,ANGEL
PUNISHER II,IRON MAN
PUNISHER II,BLACK PANTHER
PUNISHER II,SCARLET WITCH
PUNISHER II,THING
PUNISHER II,INVISIBLE WOMAN
INVISIBLE WOMAN,CAPTAIN AMERICA
INVISIBLE WOMAN,NOVA
INVISIBLE WOMAN,WONDER MAN
INVISIBLE WOMAN,WOLVERINE
INVISIBLE WOMAN,SHE-HULK
INVISIBLE WOMAN,SILVER SURFER
INVISIBLE WOMAN,VISION
INVISIBLE WOMAN,MARVEL GIRL
INVISIBLE WOMAN,STORM
INVISIBLE WOMAN,MR. FANTASTIC
INVISIBLE WOMAN,ANGEL
INVISIBLE WOMAN,IRON MAN
INVISIBLE WOMAN,BLACK PANTHER
INVISIBLE WOMAN,SCARLET WITCH
INVISIBLE WOMAN,THING
THING,CAPTAIN AMERICA
THING,NOVA
THING,WONDER MAN
THING,WOLVERINE
THING,SHE-HULK
THING,SILVER SURFER
THING,VISION
THING,MARVEL GIRL
THING,STORM
THING,MR. FANTASTIC
THING,ANGEL
THING,IRON MAN
THING,BLACK PANTHER
THING,SCARLET WITCH
SCARLET WITCH,CAPTAIN AMERICA
SCARLET WITCH,NOVA
SCARLET WITCH,WONDER MAN
SCARLET WITCH,WOLVERINE
SCARLET WITCH,SHE-HULK
SCARLET WITCH,VISION
SCARLET WITCH,MARVEL GIRL
SCARLET WITCH,STORM
SCARLET WITCH,MR. FANTASTIC
SCARLET WITCH,ANGEL
SCARLET WITCH,IRON MAN
SCARLET WITCH,BLACK PANTHER
BLACK PANTHER,CAPTAIN AMERICA
BLACK PANTHER,NOVA
BLACK PANTHER,WONDER MAN
BLACK PANTHER,WOLVERINE
BLACK PANTHER,SHE-HULK
BLACK PANTHER,SILVER SURFER
BLACK PANTHER,VISION
BLACK PANTHER,MARVEL GIRL
BLACK PANTHER,STORM
BLACK PANTHER,MR. FANTASTIC
BLACK PANTHER,ANGEL
BLACK PANTHER,IRON MAN
IRON MAN,CAPTAIN AMERICA
IRON MAN,NOVA
IRON MAN,WONDER MAN
IRON MAN,WOLVERINE
IRON MAN,SHE-HULK
IRON MAN,VISION
IRON MAN,MARVEL GIRL
IRON MAN,STORM
IRON MAN,MR. FANTASTIC
IRON MAN,ANGEL
ANGEL,CAPTAIN AMERICA
ANGEL,NOVA
ANGEL,WONDER MAN
ANGEL,WOLVERINE
ANGEL,SHE-HULK
ANGEL,SILVER SURFER
ANGEL,VISION
ANGEL,MARVEL GIRL
ANGEL,STORM
ANGEL,MR. FANTASTIC
